青沥备开内靛,青沥悼内靛
1101072,11110515
1101053,11110530
1101054,11110540
1101055,11110550
1101056,11110560
1101057,11110570
1101058,11110580
1101060,11110600
1101061,11110615
1101063,11110630
1101064,11110640
1101073,11110650
1101067,11110670
1101068,11110680
1101069,11110690
1101070,11110700
1101071,11110710
1102052,11140520
1102054,11140540
1102055,11140550
1102057,11140570
1102058,11140580
1102059,11140590
1102060,11140605
1102069,11140615
1102070,11140625
1102071,11140635
1102072,11140645
1102065,11140650
1102073,11140665
1102067,11140670
1102068,11140680
1103051,11170510
1103052,11170520
1103053,11170530
1103071,11170555
1103072,11170560
1103057,11170570
1103058,11170580
1103059,11170590
1103073,11170625
1103063,11170630
1103064,11170640
1103065,11170650
1103066,11170660
1103074,11170685
1103069,11170690
1103070,11170700
1104052,11200520
1104071,11200535
1104054,11200540
1104055,11200550
1104056,11200560
1104057,11200570
1104058,11200580
1104059,11200590
1104072,11200615
1104062,11200620
1104073,11200645
1104065,11200650
1104066,11200660
1104067,11200670
1104068,11200690
1104069,11200720
1104070,11200790
1105053,11215710
1105054,11215730
1105055,11215740
1105056,11215750
1105057,11215760
1105058,11215770
1105059,11215780
1105063,11215810
1105064,11215820
1105065,11215830
1105066,11215840
1105067,11215847
1105060,11215850
1105061,11215860
1105062,11215870
1106081,11230536
1106082,11230545
1106083,11230560
1106084,11230570
1106091,11230600
1106086,11230610
1106087,11230650
1106088,11230660
1106080,11230705
1106071,11230710
1106072,11230720
1106073,11230730
1106089,11230740
1106090,11230750
1107052,11260520
1107054,11260540
1107055,11260550
1107071,11260565
1107057,11260570
1107072,11260575
1107059,11260580
1107060,11260590
1107061,11260600
1107062,11260610
1107064,11260620
1107065,11260630
1107073,11260655
1107068,11260660
1107069,11260680
1107070,11260690
1108081,11290525
1108082,11290555
1108083,11290575
1108058,11290580
1108059,11290590
1108060,11290600
1108061,11290610
1108062,11290620
1108063,11290630
1108064,11290640
1108065,11290650
1108066,11290660
1108068,11290685
1108084,11290705
1108071,11290715
1108072,11290725
1108076,11290760
1108077,11290770
1108078,11290780
1108085,11290810
1109069,11305534
1109070,11305535
1109071,11305545
1109072,11305555
1109073,11305575
1109060,11305595
1109061,11305603
1109062,11305608
1109063,11305615
1109064,11305625
1109065,11305635
1109074,11305645
1109075,11305660
1110059,11320511
1110060,11320512
1110061,11320513
1110062,11320514
1110063,11320515
1110064,11320521
1110065,11320522
1110051,11320660
1110052,11320670
1110053,11320680
1110054,11320681
1110055,11320690
1110056,11320700
1110057,11320710
1111051,11350560
1111052,11350570
1111053,11350580
1111079,11350595
1111056,11350600
1111058,11350611
1111059,11350612
1111060,11350619
1111061,11350621
1111064,11350624
1111078,11350625
1111065,11350630
1111066,11350640
1111076,11350665
1111069,11350670
1111077,11350695
1111072,11350700
1111073,11350710
1111074,11350720
1112051,11380510
1112052,11380520
1112072,11380530
1112055,11380551
1112056,11380552
1112057,11380560
1112058,11380570
1112059,11380580
1112060,11380590
1112073,11380600
1112074,11380625
1112065,11380631
1112066,11380632
1112067,11380640
1112068,11380650
1112071,11380690
1113052,11410520
1113074,11410555
1113073,11410565
1113075,11410585
1113076,11410615
1113062,11410620
1113064,11410640
1113065,11410655
1113066,11410660
1113068,11410685
1113069,11410690
1113070,11410700
1113071,11410710
1113072,11410720
1114078,11440555
1114077,11440565
1114075,11440585
1114059,11440590
1114060,11440600
1114061,11440610
1114063,11440630
1114076,11440655
1114066,11440660
1114068,11440680
1114069,11440690
1114070,11440700
1114071,11440710
1114072,11440720
1114073,11440730
1114074,11440740
1115051,11470510
1115052,11470520
1115053,11470530
1115054,11470540
1115071,11470550
1115057,11470560
1115058,11470570
1115059,11470580
1115060,11470590
1115061,11470600
1115062,11470610
1115063,11470611
1115064,11470620
1115065,11470630
1115066,11470640
1115072,11470650
1115069,11470670
1115070,11470680
1116051,11500510
1116052,11500520
1116053,11500530
1116054,11500535
1116073,11500540
1116057,11500550
1116058,11500560
1116059,11500570
1116055,11500590
1116061,11500591
1116063,11500593
1116064,11500603
1116065,11500604
1116066,11500605
1116067,11500611
1116074,11500615
1116069,11500620
1116070,11500630
1116071,11500640
1116072,11500641
1117051,11530510
1117052,11530520
1117071,11530530
1117054,11530540
1117055,11530550
1117056,11530560
1117070,11530595
1117061,11530720
1117062,11530730
1117072,11530740
1117064,11530750
1117065,11530760
1117067,11530770
1117073,11530780
1117069,11530790
1117074,11530800
1118051,11545510
1118052,11545610
1118053,11545620
1118054,11545630
1118055,11545640
1118057,11545670
1118058,11545680
1118059,11545690
1118060,11545700
1118061,11545710
1119073,11560515
1119074,11560535
1119054,11560540
1119055,11560550
1119056,11560560
1119075,11560585
1119076,11560605
1119061,11560610
1119062,11560620
1119063,11560630
1119065,11560650
1119066,11560660
1119067,11560670
1119068,11560680
1119069,11560690
1119070,11560700
1119071,11560710
1119072,11560720
1120072,11590510
1120052,11590520
1120053,11590530
1120054,11590540
1120055,11590550
1120056,11590560
1120071,11590605
1120063,11590620
1120073,11590630
1120065,11590640
1120066,11590650
1120067,11590651
1120068,11590660
1120069,11590670
1120070,11590680
1121052,11620525
1121054,11620545
1121079,11620565
1121057,11620575
1121058,11620585
1121080,11620595
1121078,11620605
1121061,11620615
1121062,11620625
1121063,11620630
1121064,11620645
1121065,11620655
1121066,11620665
1121068,11620685
1121069,11620695
1121071,11620715
1121072,11620725
1121073,11620735
1121082,11620745
1121083,11620765
1121081,11620775
1122051,11650510
1122052,11650520
1122053,11650530
1122054,11650531
1122055,11650540
1122056,11650550
1122057,11650560
1122058,11650570
1122059,11650580
1122060,11650581
1122061,11650590
1122062,11650600
1122063,11650610
1122064,11650620
1122065,11650621
1122066,11650651
1122067,11650652
1122068,11650660
1123051,11680510
1123052,11680521
1123053,11680531
1123077,11680545
1123078,11680565
1123058,11680580
1123059,11680590
1123060,11680600
1123079,11680610
1123063,11680630
1123064,11680640
1123065,11680650
1123066,11680655
1123067,11680656
1123068,11680660
1123080,11680670
1123071,11680690
1123076,11680700
1123072,11680720
1123073,11680730
1123074,11680740
1123075,11680750
1124051,11710510
1124052,11710520
1124053,11710531
1124054,11710532
1124055,11710540
1124056,11710550
1124057,11710561
1124058,11710562
1124059,11710566
1124060,11710570
1124061,11710580
1124062,11710590
1124063,11710600
1124064,11710610
1124065,11710620
1124066,11710631
1124067,11710632
1124068,11710641
1124069,11710642
1124081,11710646
1124082,11710647
1124071,11710650
1124079,11710670
1124080,11710680
1124075,11710690
1124077,11710710
1124078,11710720
1125051,11740515
1125052,11740520
1125053,11740530
1125054,11740540
1125055,11740550
1125056,11740560
1125072,11740570
1125058,11740580
1125059,11740590
1125061,11740600
1125073,11740610
1125063,11740620
1125065,11740640
1125066,11740650
1125067,11740660
1125074,11740685
1125070,11740690
1125071,11740700
