시군구명,단위면적당 교통 접근성,노후비율,1인당 복지시설 수,단위면적당 녹지면적,빈집 비율,희망의집 수리 비율,complete_linkage,ward_linkage,kmeans,kmedoids
강남구,0.05710209617821771,0.49181038723859555,0.10649461942625948,1.0,0.9999999999999999,0.0,0,1,0,2
강동구,0.18425232156171345,0.18569639221204942,0.39828538113568035,0.41732729767690047,0.42653096266173696,0.30986100508714676,0,1,0,2
강북구,0.24498515265091292,0.5137619045717412,0.7886333623668906,0.0,0.24042422721551612,0.9379414186707703,1,0,2,1
강서구,0.08958400638251895,0.0,0.5523692787502459,0.487985861510846,0.5267177228252315,0.15964541746059419,0,1,0,2
관악구,0.17853654700272148,0.29783377108107995,0.35172866735972574,0.05930433333275492,0.008285220598362786,0.6011587584476891,1,0,2,2
광진구,0.24363915861884322,0.3174358587076492,0.3366370711696779,0.24392744718455797,0.01426404182724278,0.5094958234906363,1,0,2,0
구로구,0.8003933056679672,0.28378805533835344,0.23591989547919412,0.5638011759056232,0.6450181007017456,0.26495927177064366,0,0,1,0
금천구,0.9161083167419065,0.3903931870938286,1.0,0.5327532648015005,0.0970950481852775,0.6847040979681468,2,0,1,0
노원구,0.061698261578677305,1.0,0.546539153156697,0.28363494040494497,0.4119603346467169,0.8857123858697941,1,0,2,1
도봉구,0.25041071794790193,0.7600935805355984,0.9021065718861512,0.153640942157195,0.4505653796634952,0.8691979429013368,1,0,2,1
동대문구,0.6199220808125984,0.26992459261483975,0.41614804304458997,0.5269707996443886,0.17778874353288796,0.5942169019897777,2,0,1,0
동작구,0.9999999999999999,0.24518450748101456,0.2365310050293613,0.2535806843688325,0.0,0.5878448199863355,2,0,1,0
마포구,0.7726789320119344,0.24479051351924136,0.11981961731898516,0.6961172992177165,0.37722179615072204,0.2791060827367608,0,0,1,0
서대문구,0.8570116275844676,0.3050662426634461,0.5442035907954259,0.18908805445741453,0.3838578966025773,0.3846672567275963,2,0,1,0
서초구,0.0,0.2941070955090856,0.0,0.5556728483068576,0.7391459097747566,0.07808727592210797,0,1,0,2
성동구,0.970309277276373,0.23044487561838933,0.20577533646146495,0.2724641795857399,0.1837276360753465,0.4248543881899656,2,0,1,0
성북구,0.7373091293918222,0.17503356128249764,0.32836601949931177,0.23899358770458137,0.23696536388094622,0.3007496228218337,2,0,1,0
송파구,0.10378592943655696,0.374286349468177,0.1618773004411228,0.5268993205503886,0.3087707120069555,0.039247567125691996,0,1,0,2
양천구,0.3733866886403129,0.6348984578327379,0.4867557809558598,0.47977212829680904,0.3481484443198827,0.3679830084491917,0,0,2,2
영등포구,0.5203578929124183,0.5189222158096409,0.3356607007389508,0.5931302294810394,0.14316790201565746,0.40746687544204485,0,0,1,0
용산구,0.18464975698221686,0.569364548653023,0.10368140822117955,0.23319826387447476,0.8489617869391485,0.6978238122143615,1,0,2,2
은평구,0.2264288275684535,0.18565295686155237,0.4398267820516424,0.17642504241248638,0.4101263581248572,0.6819099490884611,1,0,2,2
종로구,0.18578499353581834,0.5330990529753477,0.8362015678120873,0.07771755261811258,0.5760460543790923,1.0,1,0,2,1
중구,0.7594786128749619,0.2315552851093608,0.5908516197915203,0.3642403774523302,0.46994783220839664,0.7315713653148361,2,0,1,0
중랑구,0.516965032106044,0.20096186064609134,0.7222577336967211,0.5187031845860729,0.11927608746540438,0.6284080025886545,2,0,1,0
