CTY_NM,ADMI_NM,RSPOP_CNT,노령층인구,장애인인구,차상위인구,노령층비율,장애인비율,차상위비율
강남구,개포1동,2130120,447811,228.0,1,0.21022806226879237,0.00010703622331136274,4.694571197866787e-07
강남구,개포2동,3604072,570080,432.0,74,0.15817664020030675,0.00011986442002268544,2.0532331207589637e-05
강남구,개포4동,2927596,489999,542.0,65,0.16737247898958735,0.00018513483417793985,2.2202517013959577e-05
강남구,논현1동,3299614,527750,587.0,182,0.15994295090274196,0.00017789959674070966,5.515796696219619e-05
강남구,논현2동,3016122,541058,505.0,172,0.17938863215745252,0.00016743354546003113,5.70268709289611e-05
강남구,대치1동,3170467,396232,285.0,187,0.12497591048889643,8.989211999367916e-05,5.898184715374738e-05
강남구,대치2동,5544426,851950,621.0,10,0.15365882780291412,0.00011200438061577519,1.8036132144247214e-06
강남구,대치4동,2874259,361046,384.0,68,0.1256135929295168,0.00013359965124924372,2.3658271575386907e-05
강남구,도곡1동,3071473,520035,425.0,258,0.1693112718229983,0.00013837009148379294,8.399878494780843e-05
강남구,도곡2동,4719450,795939,497.0,50,0.1686507961732829,0.00010530888133151108,1.0594454862325059e-05
강남구,삼성1동,2006054,382930,304.0,35,0.19088718449254108,0.00015154128453172247,1.744718736384963e-05
강남구,삼성2동,4241633,599467,565.0,41,0.1413292946372305,0.00013320341481688774,9.666088508836101e-06
강남구,세곡동,5042822,954993,2006.0,129,0.18937670217191882,0.00039779314042811745,2.558091481317405e-05
강남구,수서동,2183955,711850,2173.0,993,0.3259453605957998,0.0009949838710046682,0.000454679698070702
강남구,신사동,2457493,497460,413.0,485,0.202425805485509,0.00016805744716261653,0.0001973555977575521
강남구,압구정동,3830727,838464,489.0,67,0.21887855751662805,0.00012765200965769683,1.7490152652486067e-05
강남구,역삼1동,4858631,668996,799.0,50,0.1376922841022502,0.00016444961553985064,1.0290964677087023e-05
강남구,역삼2동,4951152,629997,637.0,240,0.12724250841016393,0.0001286569267111977,4.8473567363716563e-05
강남구,일원1동,2322414,542568,1084.0,127,0.23362242907595288,0.00046675571194455427,5.4684479166935785e-05
강남구,일원2동,2338035,487027,1181.0,491,0.20830612031043164,0.00050512503020699,0.00021000541052636082
강남구,일원본동,3298846,504357,718.0,293,0.15288891933724702,0.0002176518697750668,8.881893850152448e-05
강남구,청담동,4032009,720468,563.0,91,0.17868710114486352,0.00013963262482797036,2.256939406633269e-05
강동구,강일동,4619231,843318,1518.0,100,0.18256675191173596,0.0003286261284616422,2.164862506334929e-05
강동구,고덕1동,3017539,459644,749.0,1,0.1523241290336264,0.00024821551602149965,3.3139588253871783e-07
강동구,고덕2동,2104299,417768,766.0,1205,0.19853072210745717,0.0003640167105530155,0.0005726372535461928
강동구,길동,6704980,1357540,2002.0,196,0.20246741973876134,0.000298584037536279,2.9232003674880462e-05
강동구,둔촌1동,1369493,186940,3.0,244,0.1365030708444658,2.190591700724283e-06,0.00017816812499224166
강동구,둔촌2동,3821292,742838,960.0,756,0.19439446134972152,0.00025122393159172343,0.0001978388461284822
강동구,명일1동,3498019,643623,861.0,2,0.18399642769235958,0.00024613931485220636,5.717521831642424e-07
강동구,명일2동,2493729,439071,454.0,294,0.17607005412376406,0.00018205667095341955,0.00011789572964824967
강동구,상일1동,2496927,411915,487.0,184,0.1649687796239137,0.00019503974285191357,7.369058046150328e-05
강동구,상일2동,4619231,843318,1518.0,100,0.18256675191173596,0.0003286261284616422,2.164862506334929e-05
강동구,성내1동,2757180,514545,663.0,108,0.18662002480795595,0.0002404630818444933,3.917045677104868e-05
강동구,성내2동,3438702,745051,1062.0,4,0.21666634677852284,0.0003088374625076555,1.163229613964804e-06
강동구,성내3동,3325725,640784,885.0,204,0.19267498064331837,0.0002661073901179442,6.134000856956002e-05
강동구,암사1동,5078967,1031514,1688.0,379,0.20309523570442573,0.00033235104697470965,7.462147322477188e-05
강동구,암사2동,2132742,383775,488.0,190,0.17994440959103353,0.00022881342422102627,8.908719385654712e-05
강동구,암사3동,2570260,439107,552.0,404,0.17084147129084218,0.00021476426509380375,0.00015718254184401577
강동구,천호1동,3983774,888095,1429.0,374,0.2229280576659218,0.0003587050871861707,9.388082757706637e-05
강동구,천호2동,4884036,1054679,1765.0,927,0.21594414946982374,0.0003613814476387971,0.00018980204077119825
강동구,천호3동,3622802,813571,1337.0,116,0.22456954589293038,0.0003690513585892908,3.201941480655029e-05
강북구,미아동,3120759,756286,1166.0,85,0.2423404050104478,0.0003736270567512583,2.723696382835073e-05
강북구,번1동,2701010,619571,972.0,750,0.22938493378402894,0.00035986538368980493,0.00027767390716805935
강북구,번2동,2440446,658596,1360.0,819,0.26986706528232957,0.0005572751865847472,0.00033559439545066764
강북구,번3동,2634153,757615,2020.0,520,0.2876123748316821,0.0007668499134256818,0.00019740690840661115
강북구,삼각산동,4576394,742361,1288.0,3,0.16221527254864856,0.00028144429872078324,6.555379628589671e-07
강북구,삼양동,3824646,894046,1418.0,628,0.2337591505200743,0.0003707532670997525,0.0001641982029186492
강북구,송중동,4215057,1031110,1432.0,557,0.244625398897334,0.00033973443301003994,0.00013214530669454768
강북구,송천동,4012236,1050893,1534.0,815,0.26192203050867396,0.00038233045114993236,0.00020312862952229132
강북구,수유1동,3025667,749160,1293.0,1035,0.24760160321674526,0.0004273437889893369,0.0003420733345738312
강북구,수유2동,3047533,797268,1116.0,2,0.26161094892163594,0.00036619783936712086,6.562685293317579e-07
강북구,수유3동,3245832,784063,1094.0,3,0.2415599451850866,0.00033704763524421475,9.242622538689617e-07
강북구,우이동,2925915,791525,1003.0,8,0.2705222127095285,0.00034279874842570613,2.7341874251302585e-06
강북구,인수동,4448658,1174019,1821.0,478,0.263904080736258,0.0004093369281252908,0.00010744813379675398
강서구,가양1동,3918229,539906,821.0,847,0.13779337552756615,0.00020953343972493696,0.00021616909067846723
강서구,가양2동,2191697,666253,2451.0,809,0.30398955695061863,0.0011183115184261328,0.0003691203665470181
강서구,가양3동,2310829,596308,1691.0,727,0.25804938400894223,0.0007317720177477434,0.0003146057107644053
강서구,공항동,3422863,658165,1095.0,792,0.19228493807669195,0.0003199076328792593,0.0002313852467948615
강서구,등촌1동,3180762,491319,736.0,767,0.15446581668166307,0.00023139109433525676,0.00024113718662383416
강서구,등촌2동,2952469,553565,732.0,633,0.1874922310784635,0.00024792809001550906,0.00021439683193964104
강서구,등촌3동,4660319,1092219,3861.0,3,0.2343657161666401,0.0008284840587092858,6.437327573498724e-07
강서구,발산1동,5099063,781571,1491.0,2,0.15327737664743502,0.00029240666373410174,3.922289251966489e-07
강서구,방화1동,5640483,1071188,1767.0,672,0.1899106867266509,0.0003132710443414154,0.00011913873333187955
강서구,방화2동,3355230,813646,1628.0,1128,0.24250081216488883,0.00048521263817979693,0.00033619155765774627
강서구,방화3동,3449331,841994,2042.0,212,0.24410356674961028,0.0005919988542705817,6.146119348940417e-05
강서구,염창동,5729041,783167,1114.0,643,0.1367012384795291,0.00019444790148997015,0.0001122351891005842
