CTY_NM,ADMI_NM,RSPOP_CNT,노령층인구,노령층비율,장애인인구,장애인비율,차상위인구,차상위비율,ADM_CD
강남구,개포1동,2130120,447811,0.21022806226879237,228.0,0.00010703622331136274,1,4.694571197866787e-07,11230680
강남구,개포2동,3604072,570080,0.15817664020030675,432.0,0.00011986442002268544,74,2.0532331207589637e-05,11230800
강남구,개포4동,2927596,489999,0.16737247898958735,542.0,0.00018513483417793985,65,2.2202517013959577e-05,11230710
강남구,논현1동,3299614,527750,0.15994295090274196,587.0,0.00017789959674070966,182,5.515796696219619e-05,11230520
강남구,논현1동,3299614,527750,0.15994295090274196,587.0,0.00017789959674070966,182,5.515796696219619e-05,23050720
강남구,논현2동,3016122,541058,0.17938863215745252,505.0,0.00016743354546003113,172,5.70268709289611e-05,11230530
강남구,논현2동,3016122,541058,0.17938863215745252,505.0,0.00016743354546003113,172,5.70268709289611e-05,23050730
강남구,대치1동,3170467,396232,0.12497591048889643,285.0,8.989211999367916e-05,187,5.898184715374738e-05,11230600
강남구,대치2동,5544426,851950,0.15365882780291412,621.0,0.00011200438061577519,10,1.8036132144247214e-06,11230790
강남구,대치4동,2874259,361046,0.1256135929295168,384.0,0.00013359965124924372,68,2.3658271575386907e-05,11230630
강남구,도곡1동,3071473,520035,0.1693112718229983,425.0,0.00013837009148379294,258,8.399878494780843e-05,11230660
강남구,도곡2동,4719450,795939,0.1686507961732829,497.0,0.00010530888133151108,50,1.0594454862325059e-05,11230670
강남구,삼성1동,2006054,382930,0.19088718449254108,304.0,0.00015154128453172247,35,1.744718736384963e-05,11230580
강남구,삼성2동,4241633,599467,0.1413292946372305,565.0,0.00013320341481688774,41,9.666088508836101e-06,11230590
강남구,세곡동,5042822,954993,0.18937670217191882,2006.0,0.00039779314042811745,129,2.558091481317405e-05,11230760
강남구,수서동,2183955,711850,0.3259453605957998,2173.0,0.0009949838710046682,993,0.000454679698070702,11230750
강남구,신사동,2457493,497460,0.202425805485509,413.0,0.00016805744716261653,485,0.0001973555977575521,11210680
강남구,신사동,2457493,497460,0.202425805485509,413.0,0.00016805744716261653,485,0.0001973555977575521,11230510
관악구,신사동,3228406,596599,0.18479676967518954,923.0,0.0002858996049443595,298,9.230561459742053e-05,11210680
관악구,신사동,3228406,596599,0.18479676967518954,923.0,0.0002858996049443595,298,9.230561459742053e-05,11230510
강남구,압구정동,3830727,838464,0.21887855751662805,489.0,0.00012765200965769683,67,1.7490152652486067e-05,11230770
강남구,역삼1동,4858631,668996,0.1376922841022502,799.0,0.00016444961553985064,50,1.0290964677087023e-05,11230640
강남구,역삼2동,4951152,629997,0.12724250841016393,637.0,0.0001286569267111977,240,4.8473567363716563e-05,11230650
강남구,일원1동,2322414,542568,0.23362242907595288,1084.0,0.00046675571194455427,127,5.4684479166935785e-05,11230730
강남구,일원2동,2338035,487027,0.20830612031043164,1181.0,0.00050512503020699,491,0.00021000541052636082,11230740
강남구,일원본동,3298846,504357,0.15288891933724702,718.0,0.0002176518697750668,293,8.881893850152448e-05,11230720
강남구,청담동,4032009,720468,0.17868710114486352,563.0,0.00013963262482797036,91,2.256939406633269e-05,11230780
강동구,강일동,4619231,843318,0.18256675191173596,1518.0,0.0003286261284616422,100,2.164862506334929e-05,11250750
강동구,고덕1동,3017539,459644,0.1523241290336264,749.0,0.00024821551602149965,1,3.3139588253871783e-07,11250550
강동구,고덕2동,2104299,417768,0.19853072210745717,766.0,0.0003640167105530155,1205,0.0005726372535461928,11250560
강동구,길동,6704980,1357540,0.20246741973876134,2002.0,0.000298584037536279,196,2.9232003674880462e-05,11250740
강동구,둔촌1동,1369493,186940,0.1365030708444658,3.0,2.190591700724283e-06,244,0.00017816812499224166,11250700
강동구,둔촌2동,3821292,742838,0.19439446134972152,960.0,0.00025122393159172343,756,0.0001978388461284822,11250710
강동구,명일1동,3498019,643623,0.18399642769235958,861.0,0.00024613931485220636,2,5.717521831642424e-07,11250530
강동구,명일2동,2493729,439071,0.17607005412376406,454.0,0.00018205667095341955,294,0.00011789572964824967,11250540
강동구,성내1동,2757180,514545,0.18662002480795595,663.0,0.0002404630818444933,108,3.917045677104868e-05,11250650
강동구,성내1동,2757180,514545,0.18662002480795595,663.0,0.0002404630818444933,108,3.917045677104868e-05,22010560
강동구,성내2동,3438702,745051,0.21666634677852284,1062.0,0.0003088374625076555,4,1.163229613964804e-06,11250660
강동구,성내2동,3438702,745051,0.21666634677852284,1062.0,0.0003088374625076555,4,1.163229613964804e-06,22010590
강동구,성내3동,3325725,640784,0.19267498064331837,885.0,0.0002661073901179442,204,6.134000856956002e-05,11250670
강동구,성내3동,3325725,640784,0.19267498064331837,885.0,0.0002661073901179442,204,6.134000856956002e-05,22010610
강동구,암사1동,5078967,1031514,0.20309523570442573,1688.0,0.00033235104697470965,379,7.462147322477188e-05,11250720
강동구,암사2동,2132742,383775,0.17994440959103353,488.0,0.00022881342422102627,190,8.908719385654712e-05,11250580
강동구,암사3동,2570260,439107,0.17084147129084218,552.0,0.00021476426509380375,404,0.00015718254184401577,11250590
강동구,천호1동,3983774,888095,0.2229280576659218,1429.0,0.0003587050871861707,374,9.388082757706637e-05,11250610
강동구,천호2동,4884036,1054679,0.21594414946982374,1765.0,0.0003613814476387971,927,0.00018980204077119825,11250730
강동구,천호3동,3622802,813571,0.22456954589293038,1337.0,0.0003690513585892908,116,3.201941480655029e-05,11250630
강북구,미아동,3120759,756286,0.2423404050104478,1166.0,0.0003736270567512583,85,2.723696382835073e-05,11090700
강북구,번1동,2701010,619571,0.22938493378402894,972.0,0.00035986538368980493,750,0.00027767390716805935,11090600
강북구,번2동,2440446,658596,0.26986706528232957,1360.0,0.0005572751865847472,819,0.00033559439545066764,11090610
강북구,번3동,2634153,757615,0.2876123748316821,2020.0,0.0007668499134256818,520,0.00019740690840661115,11090620
강북구,삼각산동,4576394,742361,0.16221527254864856,1288.0,0.00028144429872078324,3,6.555379628589671e-07,11090730
강북구,삼양동,3824646,894046,0.2337591505200743,1418.0,0.0003707532670997525,628,0.0001641982029186492,11090690
