시군구명	행정동명	전체세대	1인세대
종로구	사직동	4570	2317
종로구	삼청동	1148	563
종로구	부암동	4144	1642
종로구	평창동	7270	2321
종로구	무악동	3017	701
종로구	교남동	4386	1641
종로구	가회동	1931	917
종로구	종로1.2.3.4가동	4926	3932
종로구	종로5.6가동	3511	2514
종로구	이화동	4301	2762
종로구	창신1동	2706	1623
종로구	창신2동	3995	1996
종로구	창신3동	2777	944
종로구	숭인1동	2970	1485
종로구	숭인2동	6548	4691
종로구	청운효자동	5129	1952
종로구	혜화동	9195	5679
중구	소공동	1286	775
중구	회현동	2561	1541
중구	명동	1457	1020
중구	필동	2431	1604
중구	장충동	2829	1911
중구	광희동	3424	2419
중구	을지로동	1297	1065
중구	신당5동	5334	2735
중구	황학동	7199	4129
중구	중림동	5719	2509
중구	신당동	4808	3190
중구	다산동	6821	3276
중구	약수동	7779	3128
중구	청구동	6205	2530
중구	동화동	3989	1122
용산구	후암동	8281	4167
용산구	용산2가동	5057	2801
용산구	남영동	5021	3850
용산구	원효로2동	6094	2392
용산구	효창동	4694	1718
용산구	용문동	5320	2110
용산구	이촌1동	9152	1859
용산구	이촌2동	3598	1296
용산구	이태원1동	3467	1986
용산구	이태원2동	4837	2678
용산구	서빙고동	5129	1713
용산구	보광동	7072	3863
용산구	청파동	11089	6875
용산구	원효로1동	9212	5007
용산구	한강로동	11388	6133
용산구	한남동	10394	5557
성동구	왕십리2동	7396	2978
성동구	마장동	10905	5246
성동구	사근동	8148	6093
성동구	행당1동	6441	2803
성동구	행당2동	9246	2469
성동구	응봉동	5930	1586
성동구	금호1가동	6533	2214
성동구	금호4가동	6298	2239
성동구	성수1가1동	7636	3284
성동구	성수1가2동	5935	2733
성동구	성수2가1동	7925	4004
성동구	성수2가3동	5332	2796
성동구	송정동	5458	2981
성동구	용답동	7326	4939
성동구	왕십리도선동	12091	5007
성동구	금호2.3가동	9943	3587
성동구	옥수동	10762	3195
광진구	화양동	18185	14951
광진구	군자동	11400	7019
광진구	중곡1동	8504	4698
광진구	중곡2동	10656	5132
광진구	중곡3동	8513	4365
광진구	중곡4동	13122	5336
광진구	능동	6406	3773
광진구	구의1동	13077	7478
광진구	구의2동	11517	4366
광진구	구의3동	12079	4314
광진구	광장동	11814	2263
광진구	자양1동	11913	6559
광진구	자양2동	10887	4298
광진구	자양3동	11009	3197
광진구	자양4동	10209	5897
동대문구	회기동	6719	4705
동대문구	휘경1동	7783	4663
동대문구	휘경2동	12231	6470
