시도,시군구,읍면동,자격,연령구간,가구수,수급권자수
서울특별시,종로구,청운효자동,모자가족,18세미만,0,23
서울특별시,종로구,청운효자동,모자가족,18~64세,21,30
서울특별시,종로구,청운효자동,부자가족,18세미만,0,3
서울특별시,종로구,청운효자동,부자가족,18~64세,4,9
서울특별시,종로구,청운효자동,차상위장애인,18~64세,9,10
서울특별시,종로구,청운효자동,차상위장애인,65세이상,9,9
서울특별시,종로구,청운효자동,차상위자활,18~64세,1,1
서울특별시,종로구,청운효자동,차상위본인부담경감대상자,18세미만,0,9
서울특별시,종로구,청운효자동,차상위본인부담경감대상자,18~64세,13,9
서울특별시,종로구,청운효자동,차상위본인부담경감대상자,65세이상,22,26
서울특별시,종로구,청운효자동,차상위계층 확인,18세미만,0,3
서울특별시,종로구,청운효자동,차상위계층 확인,18~64세,15,29
서울특별시,종로구,청운효자동,차상위계층 확인,65세이상,5,6
서울특별시,종로구,사직동,모자가족,18세미만,0,4
서울특별시,종로구,사직동,모자가족,18~64세,5,6
서울특별시,종로구,사직동,부자가족,18세미만,0,2
서울특별시,종로구,사직동,부자가족,18~64세,1,1
서울특별시,종로구,사직동,차상위장애인,18~64세,3,3
서울특별시,종로구,사직동,차상위장애인,65세이상,4,4
서울특별시,종로구,사직동,차상위자활,18~64세,1,1
서울특별시,종로구,사직동,차상위본인부담경감대상자,18세미만,0,2
서울특별시,종로구,사직동,차상위본인부담경감대상자,18~64세,5,3
서울특별시,종로구,사직동,차상위본인부담경감대상자,65세이상,16,17
서울특별시,종로구,사직동,차상위계층 확인,18~64세,4,10
서울특별시,종로구,사직동,차상위계층 확인,65세이상,9,8
서울특별시,종로구,삼청동,모자가족,18세미만,0,2
서울특별시,종로구,삼청동,모자가족,18~64세,3,4
서울특별시,종로구,삼청동,부자가족,18~64세,2,5
서울특별시,종로구,삼청동,차상위장애인,18세미만,0,1
서울특별시,종로구,삼청동,차상위장애인,18~64세,4,3
서울특별시,종로구,삼청동,차상위장애인,65세이상,1,1
서울특별시,종로구,삼청동,차상위본인부담경감대상자,18~64세,1,1
서울특별시,종로구,삼청동,차상위본인부담경감대상자,65세이상,1,1
서울특별시,종로구,삼청동,차상위계층 확인,18~64세,2,4
서울특별시,종로구,삼청동,차상위계층 확인,65세이상,4,5
서울특별시,종로구,부암동,모자가족,18세미만,0,11
서울특별시,종로구,부암동,모자가족,18~64세,12,18
서울특별시,종로구,부암동,부자가족,18세미만,0,5
서울특별시,종로구,부암동,부자가족,18~64세,5,9
서울특별시,종로구,부암동,차상위장애인,18세미만,0,2
서울특별시,종로구,부암동,차상위장애인,18~64세,5,4
서울특별시,종로구,부암동,차상위장애인,65세이상,9,9
서울특별시,종로구,부암동,차상위자활,18~64세,1,1
서울특별시,종로구,부암동,차상위본인부담경감대상자,18세미만,0,15
서울특별시,종로구,부암동,차상위본인부담경감대상자,18~64세,14,9
서울특별시,종로구,부암동,차상위본인부담경감대상자,65세이상,11,9
서울특별시,종로구,부암동,청소년한부모모자가족,18세미만,0,1
서울특별시,종로구,부암동,청소년한부모모자가족,18~64세,1,1
서울특별시,종로구,부암동,차상위계층 확인,18세미만,0,8
서울특별시,종로구,부암동,차상위계층 확인,18~64세,7,12
서울특별시,종로구,부암동,차상위계층 확인,65세이상,6,7
서울특별시,종로구,평창동,모자가족,18세미만,1,14
서울특별시,종로구,평창동,모자가족,18~64세,19,27
서울특별시,종로구,평창동,부자가족,18~64세,1,3
서울특별시,종로구,평창동,차상위장애인,18세미만,0,1
서울특별시,종로구,평창동,차상위장애인,18~64세,5,4
서울특별시,종로구,평창동,차상위장애인,65세이상,9,9
서울특별시,종로구,평창동,차상위자활,18~64세,4,6
서울특별시,종로구,평창동,차상위본인부담경감대상자,18세미만,0,2
서울특별시,종로구,평창동,차상위본인부담경감대상자,18~64세,10,9
서울특별시,종로구,평창동,차상위본인부담경감대상자,65세이상,10,12
서울특별시,종로구,평창동,청소년한부모모자가족,18세미만,0,1
서울특별시,종로구,평창동,청소년한부모모자가족,18~64세,1,1
서울특별시,종로구,평창동,차상위계층 확인,18세미만,0,2
서울특별시,종로구,평창동,차상위계층 확인,18~64세,19,34
서울특별시,종로구,평창동,차상위계층 확인,65세이상,18,19
서울특별시,종로구,무악동,모자가족,18세미만,0,7
서울특별시,종로구,무악동,모자가족,18~64세,7,11
서울특별시,종로구,무악동,부자가족,18세미만,0,2
서울특별시,종로구,무악동,부자가족,18~64세,4,6
서울특별시,종로구,무악동,차상위장애인,18~64세,7,8
서울특별시,종로구,무악동,차상위장애인,65세이상,8,8
서울특별시,종로구,무악동,차상위본인부담경감대상자,18세미만,0,1
서울특별시,종로구,무악동,차상위본인부담경감대상자,18~64세,4,5
서울특별시,종로구,무악동,차상위본인부담경감대상자,65세이상,19,23
서울특별시,종로구,무악동,차상위계층 확인,18세미만,0,3
서울특별시,종로구,무악동,차상위계층 확인,18~64세,12,19
서울특별시,종로구,무악동,차상위계층 확인,65세이상,9,11
서울특별시,종로구,교남동,모자가족,18세미만,0,23
서울특별시,종로구,교남동,모자가족,18~64세,22,34
서울특별시,종로구,교남동,부자가족,18세미만,0,5
서울특별시,종로구,교남동,부자가족,18~64세,8,12
서울특별시,종로구,교남동,차상위장애인,18세미만,0,1
서울특별시,종로구,교남동,차상위장애인,18~64세,4,3
서울특별시,종로구,교남동,차상위장애인,65세이상,8,9
서울특별시,종로구,교남동,차상위자활,18~64세,1,1
서울특별시,종로구,교남동,차상위본인부담경감대상자,18세미만,0,21
서울특별시,종로구,교남동,차상위본인부담경감대상자,18~64세,15,9
서울특별시,종로구,교남동,차상위본인부담경감대상자,65세이상,22,25
서울특별시,종로구,교남동,차상위계층 확인,18세미만,0,2
서울특별시,종로구,교남동,차상위계층 확인,18~64세,17,30
서울특별시,종로구,교남동,차상위계층 확인,65세이상,9,10
서울특별시,종로구,가회동,모자가족,18세미만,0,3
서울특별시,종로구,가회동,모자가족,18~64세,4,6
서울특별시,종로구,가회동,부자가족,18~64세,1,2
서울특별시,종로구,가회동,차상위장애인,18세미만,0,1
서울특별시,종로구,가회동,차상위장애인,18~64세,1,0
서울특별시,종로구,가회동,차상위장애인,65세이상,2,2
서울특별시,종로구,가회동,차상위자활,18~64세,2,2
서울특별시,종로구,가회동,차상위본인부담경감대상자,18세미만,0,8
서울특별시,종로구,가회동,차상위본인부담경감대상자,18~64세,9,5
서울특별시,종로구,가회동,차상위본인부담경감대상자,65세이상,5,5
서울특별시,종로구,가회동,차상위계층 확인,18세미만,0,1
서울특별시,종로구,가회동,차상위계층 확인,18~64세,9,14
서울특별시,종로구,가회동,차상위계층 확인,65세이상,7,8
서울특별시,종로구,종로1.2.3.4가동,모자가족,18세미만,0,2
서울특별시,종로구,종로1.2.3.4가동,모자가족,18~64세,3,4
서울특별시,종로구,종로1.2.3.4가동,부자가족,18~64세,1,3
서울특별시,종로구,종로1.2.3.4가동,차상위장애인,18~64세,7,7
서울특별시,종로구,종로1.2.3.4가동,차상위장애인,65세이상,10,10
서울특별시,종로구,종로1.2.3.4가동,차상위자활,18~64세,5,5
서울특별시,종로구,종로1.2.3.4가동,차상위본인부담경감대상자,18세미만,0,1
서울특별시,종로구,종로1.2.3.4가동,차상위본인부담경감대상자,18~64세,13,12
서울특별시,종로구,종로1.2.3.4가동,차상위본인부담경감대상자,65세이상,20,21
서울특별시,종로구,종로1.2.3.4가동,차상위계층 확인,18세미만,0,4
서울특별시,종로구,종로1.2.3.4가동,차상위계층 확인,18~64세,9,12
서울특별시,종로구,종로1.2.3.4가동,차상위계층 확인,65세이상,18,18
서울특별시,종로구,종로5.6가동,모자가족,18세미만,0,9
서울특별시,종로구,종로5.6가동,모자가족,18~64세,8,12
서울특별시,종로구,종로5.6가동,부자가족,18세미만,0,2
서울특별시,종로구,종로5.6가동,부자가족,18~64세,3,4
서울특별시,종로구,종로5.6가동,차상위장애인,18세미만,0,1
서울특별시,종로구,종로5.6가동,차상위장애인,18~64세,7,5
서울특별시,종로구,종로5.6가동,차상위장애인,65세이상,10,12
서울특별시,종로구,종로5.6가동,차상위본인부담경감대상자,18세미만,0,9
서울특별시,종로구,종로5.6가동,차상위본인부담경감대상자,18~64세,14,10
서울특별시,종로구,종로5.6가동,차상위본인부담경감대상자,65세이상,14,15
서울특별시,종로구,종로5.6가동,청소년한부모모자가족,18세미만,0,1
서울특별시,종로구,종로5.6가동,청소년한부모모자가족,18~64세,1,1
서울특별시,종로구,종로5.6가동,차상위계층 확인,18세미만,0,7
서울특별시,종로구,종로5.6가동,차상위계층 확인,18~64세,27,45
서울특별시,종로구,종로5.6가동,차상위계층 확인,65세이상,20,24
서울특별시,종로구,이화동,모자가족,18세미만,0,7
서울특별시,종로구,이화동,모자가족,18~64세,15,26
서울특별시,종로구,이화동,부자가족,18세미만,0,12
서울특별시,종로구,이화동,부자가족,18~64세,8,11
