시군구명	행정동명	외국인
종로구	사직동	404
종로구	삼청동	87
종로구	부암동	379
종로구	평창동	430
종로구	무악동	96
종로구	교남동	326
종로구	가회동	154
종로구	종로1.2.3.4가동	811
종로구	종로5.6가동	587
종로구	이화동	673
종로구	창신1동	1176
종로구	창신2동	1786
종로구	창신3동	279
종로구	숭인1동	486
종로구	숭인2동	884
종로구	청운효자동	229
종로구	혜화동	3222
중구	소공동	521
중구	회현동	607
중구	명동	614
중구	필동	937
중구	장충동	1084
중구	광희동	1648
중구	을지로동	230
중구	신당5동	679
중구	황학동	1488
중구	중림동	498
중구	신당동	2321
중구	다산동	822
중구	약수동	454
중구	청구동	387
중구	동화동	349
용산구	후암동	766
용산구	용산2가동	1453
용산구	남영동	691
용산구	원효로2동	233
용산구	효창동	218
용산구	용문동	220
용산구	이촌1동	1343
용산구	이촌2동	191
용산구	이태원1동	1987
용산구	이태원2동	1721
용산구	서빙고동	801
용산구	보광동	1832
용산구	청파동	1042
용산구	원효로1동	719
용산구	한강로동	2093
용산구	한남동	2969
성동구	왕십리2동	674
성동구	마장동	1138
성동구	사근동	2090
성동구	행당1동	536
성동구	행당2동	230
성동구	응봉동	155
성동구	금호1가동	226
성동구	금호4가동	414
성동구	성수1가1동	610
성동구	성수1가2동	526
성동구	성수2가1동	1006
성동구	성수2가3동	418
성동구	송정동	736
성동구	용답동	1545
성동구	왕십리도선동	935
성동구	금호2.3가동	439
성동구	옥수동	769
광진구	화양동	3739
광진구	군자동	2740
광진구	중곡1동	710
광진구	중곡2동	698
광진구	중곡3동	519
광진구	중곡4동	717
광진구	능동	471
광진구	구의1동	1167
광진구	구의2동	848
광진구	구의3동	621
광진구	광장동	370
광진구	자양1동	1814
광진구	자양2동	763
광진구	자양3동	632
광진구	자양4동	5844
동대문구	회기동	2693
동대문구	휘경1동	2620
동대문구	휘경2동	1117
동대문구	청량리동	965
동대문구	용신동	2403
동대문구	제기동	2789
동대문구	전농1동	926
동대문구	전농2동	627
동대문구	답십리2동	590
동대문구	장안1동	1081
동대문구	장안2동	729
동대문구	이문1동	3741
동대문구	이문2동	755
동대문구	답십리1동	730
중랑구	면목2동	709
중랑구	면목4동	627
중랑구	면목5동	261
중랑구	면목7동	623
중랑구	상봉1동	337
중랑구	상봉2동	664
중랑구	중화1동	375
중랑구	중화2동	999
중랑구	묵1동	432
중랑구	묵2동	489
중랑구	망우3동	637
중랑구	신내1동	385
중랑구	신내2동	192
중랑구	면목본동	1496
중랑구	면목3.8동	787
중랑구	망우본동	685
성북구	돈암1동	203
성북구	돈암2동	257
성북구	안암동	2346
성북구	보문동	639
성북구	정릉1동	292
성북구	정릉2동	430
성북구	정릉3동	1711
성북구	정릉4동	727
성북구	길음1동	384
성북구	길음2동	290
성북구	월곡1동	476
성북구	월곡2동	803
성북구	장위1동	463
